日期,時間,行程名稱,交通 / 備註,狀態,詳細執行筆記與注意事項心法
9/15 (二),整天,台北 (TPE) ➔ 巴黎 (CDG) 蜜月啟程啟航,長榮航空 BR87 直飛（飛行14小時25分）,已開票,20:30抵達桃機T2・23:30起飛・確認護照/國際駕照/海外信用卡PIN碼・機上充分休息調時差
9/15 (二),20:30,抵達桃園國際機場 T2 辦理報到與託運,長榮航空報到櫃檯,✅已完成,出發前清點隨身貴重物品、婚紗自備西服、轉接頭與網卡/eSIM・提早 3 小時抵達機場
9/15 (二),23:30,長榮航空 BR87 準時起飛直飛巴黎,波音 777-300ER (直飛戴高樂),✅已購機票,機上安心睡眠調時差・戴眼罩頸枕・多補充水分・養足充沛體力迎接明日巴黎晨光！
9/16 (三),整天,抵達戴高樂機場 ➔ 飯店寄行李 ➔ 瑪黑區悠閒漫步調時差,RER B線 / 地鐵 7 號線,已預約,07:55抵達CDG・購Navigo週卡・13區B&B寄行李・孚日廣場散步・早睡調時差・宿B&B
9/16 (三),07:55,班機準時抵達巴黎戴高樂機場 (CDG) 第二航廈,長榮航空航廈 (Terminal 1),⬜免費,通關與領行李約需 1~1.5 小時・通關時請備妥來回機票證明與首晚飯店憑證以備查驗
9/16 (三),09:30,機場購買實體 Navigo 週卡 ＆ 搭乘 RER B 線,機場車站人工售票櫃檯或自動售票機,現場刷卡 (€32.40+工本費€5),每人購買 Navigo Découverte 週卡並儲存當週票（1-5圈全包・包含往返市區 RER B 與後續楓丹白露火車）
9/16 (三),10:45,抵達市區飯店寄放行李・稍作梳洗休整,搭 RER B 線至市區轉地鐵 7 號線直達,✅已預約 (BB22425685),入住 B&B HOTEL Paris Italie Porte de Choisy・先於櫃檯寄放 2 件大行李・換穿輕便走路上街
9/16 (三),12:30,飯店周邊法式小酒館享用巴黎第一餐,飯店周邊步行,現場候位,品嚐道地法式烤火腿三明治 (Croque-Monsieur) 或熱騰騰焗烤洋蔥湯暖胃
9/16 (三),14:30,瑪黑區歷史老街與孚日廣場悠閒散步,地鐵至 Saint-Paul 站步行,⬜免費,漫步巴黎最古老皇家廣場「孚日廣場 (Place des Vosges)」・穿梭紅磚拱廊・買小天使花瓣冰淇淋 (Amorino)
9/16 (三),17:30,採買礦泉水與水果輕食 ➔ 返回飯店早點休息,超市 Monoprix / Franprix 採買,現場信用卡付費,採買大瓶瓶裝水、新鮮水果與優格・因長途飛行與時差・建議 20:30 前就寢調好作息
9/17 (四),整天,👗 The Bride Paris 試穿婚紗 ➔ 左岸雙叟咖啡館午餐 ➔ 盧森堡公園,地鐵 7 號轉 10 號線,已預約,11:00試婚紗・試穿選定修改後直接帶回・左岸雙叟/花神午餐・盧森堡公園・宿B&B
9/17 (四),10:15,自飯店搭乘地鐵前往 6 區婚紗工作室,地鐵 7 號線轉 10 號線至 Odéon 站,Navigo 週卡全包,車程約 25-30 分鐘・出站後步行 3 分鐘至 Rue de l'Odéon
9/17 (四),11:00,⭐ The Bride Paris 試穿白紗與現場修改,22 Rue de l'Odéon, 75006 Paris,✅已預約 11:00 (1-1.5h),門禁 Code【2734】/ 電梯 Code【1869】(搭至1/2樓右門)・限試穿5件・自備膚色無痕內衣與NuBra・改好當天帶回懸掛
9/17 (四),12:45,⭐ 雙叟咖啡館 (Les Deux Magots) 露台午餐,自工作室步行 7 分鐘 (550m) 直達,現場候位 (07:30-01:00),創於1885年左岸傳奇名店！坐在二樓露台俯瞰教堂廣場・必點火腿起司三明治、烤蘋果塔與熱巧克力・對門花神拍照
9/17 (四),14:30,左岸聖日耳曼德佩老街漫步 ＆ 盧森堡公園散步,步行漫步,⬜免費,漫步聖日耳曼大道林蔭路・走入盧森堡公園 (Jardin du Luxembourg) 坐在綠色鐵椅看噴水池曬日光浴
9/17 (四),17:00,提著婚紗禮服搭乘地鐵返回飯店細心懸掛,地鐵 10 號線轉 7 號線回飯店,Navigo 週卡全包,回到飯店將白紗自防塵袋取出・高處妥善懸掛防皺・再次檢查頭紗與飾品配件齊全
9/18 (五),整天,👑 楓丹白露宮大套房與花園漫步 ➔ 里昂車站凡爾賽宮餐廳,Transilien R 線 (Navigo 5圈全包),已預約,09:30里昂車站搭車・40分直達楓丹白露・大套房門票€14・花園免費・藍色列車晚餐・宿B&B
9/18 (五),09:30,前往里昂車站搭乘 Transilien R 線直達楓丹白露,Gare de Lyon ➔ Fontainebleau-Avon,Navigo 週卡全包 (免買車票),車程約 40 分鐘・出站直走於公車站轉乘 1 號公車 (Ligne 1) 直達宮殿正門口 (Château 站)
9/18 (五),10:45,深度參觀楓丹白露宮宮殿大套房與歷史博物館,宮殿大套房 (Grands Appartements),現場購票 (約14€/人),參觀拿破崙告別大階梯（馬蹄形石階）、弗朗索瓦一世長廊、舞廳與教宗套房・遊客遠少於凡爾賽極為典雅
9/18 (五),13:00,楓丹白露宮皇家花園與鯉魚池漫步野餐,鯉魚池 (Étang des Carpes) 與英國花園,⬜花園完全免費漫步,坐在百年皇家花園綠蔭長椅吃輕食三明治・看大鯉魚戲水・環境幽靜舒暢
9/18 (五),15:30,搭乘公車返回車站 ➔ 搭火車返回巴黎里昂車站,公車 1 號 ➔ Transilien R 線,Navigo 週卡全包,約 16:30 返回巴黎里昂車站 (Gare de Lyon)・感受昔日東方快車歷史起點氣魄
9/18 (五),17:00,⭐ 藍色列車餐廳 (Le Train Bleu) 凡爾賽宮古蹟體驗,里昂車站 1 樓大廳 (Place Louis Armand),強烈建議官網預約,1900年萬國博覽會歷史古蹟！挑高11米・41幅壁畫與金箔水晶燈宛如凡爾賽宮鏡廳・必嚐傳統魚湯與橙酒舒芙蕾・需Smart Casual
9/18 (五),20:30,搭地鐵返回飯店休息・整理拍攝前物品,地鐵直達,Navigo 週卡全包,回飯店放鬆泡澡消除疲勞・早點休息迎接明日休整與拍攝日
9/19 (六),整天,🌿 巴黎悠閒休息日 ➔ 興業銀行穹頂 ➔ 拍婚紗前夜總準備,地鐵與市區漫步,已預約,參觀興業銀行總行百年玻璃穹頂・巴黎市政廳・清點拍攝隨身裝備・備妥現金€2500・宿B&B
9/19 (六),10:00,參觀法國興業銀行總行百年彩繪玻璃穹頂,29 Boulevard Haussmann, 75009 Paris,⬜免費入場參觀,奧斯曼旗艦總行大廳・抬頭仰望震撼新藝術風格彩色玻璃巨型穹頂・拍照極為精緻
9/19 (六),11:30,巴黎市政廳廣場 (Hôtel de Ville) 與瑪黑區散步,地鐵直達,⬜免費,欣賞文藝復興風格宏偉市政廳建築・市政廳對面逛巴詩威瑪黑百貨 (BHV Marais)
9/19 (六),14:00,返回飯店整理婚紗拍攝道具與自備配件,飯店內休整,⬜整理備戰,清點道具：平底好走便鞋、保暖披肩、新娘NuBra、新郎黑色西裝皮鞋襯衫、透明雨傘備用
9/19 (六),16:00,⚠️ 備妥拍攝尾款現金【€2,500 歐元】現鈔,飯店保險箱 / 隨身防盜包,現金全額備妥,攝影工作室現場不提供刷卡！出發前清點備妥 2,500 歐元現鈔・放置於安全防盜腰包中
9/19 (六),18:00,飯店周邊清淡晚餐 ➔ 敷保濕面膜早睡,飯店周邊,現場付費,晚餐吃清淡低鈉食物避免水腫・多喝水少喝含糖飲料・敷保濕面膜・21:00 前熄燈就寢迎接凌晨 04:00 梳化！
9/20 (日),整天,📸 ⭐ 巴黎夢幻婚紗日出開拍！賓士保母車全日大作,專車保母車接送各大地標,已簽約 (€3299套組),04:00梳化造型・07:00日出開拍鐵塔/亞歷山大三世橋/羅浮宮・車上換裝・尾款€2500現鈔繳清・宿B&B
9/20 (日),04:00,起床進行梳化造型與飾品配戴 (造型師到房),飯店房間內,✅已包含,造型師準時到房梳畫・新娘完成第 1 套優雅妝髮、配戴長頭紗與飾品・新郎完成西服整理與抓髮造型
9/20 (日),06:45,賓士專屬保母車抵達飯店接駁出發,飯店門口 (保母車接送),✅已包含,清點攜帶物品：平底便鞋、水壺、防寒披肩外套、補妝粉餅、手捧花、尾款現鈔【€2,500】上車
9/20 (日),07:00,⭐ 第一站：特羅卡德羅夏樂宮 (Trocadéro) 日出大景,夏樂宮大理石平台,⬜最佳光線,迎向 07:30 巴黎日出！無人空景抓拍整座艾菲爾鐵塔壯麗晨光與金色朝霞
9/20 (日),08:15,⭐ 第二站：卡蒙斯大道石階 (Avenue de Camoëns),卡蒙斯大道弧形石階,⬜無死角絕景,古典石階路燈與奧斯曼公寓優雅框住鐵塔・坐在石階上拍浪漫拖尾大片
9/20 (日),09:15,⭐ 第三站：耶拿橋 (Pont d'Iéna) 橫跨塞納河抓拍,耶拿橋人行道,⬜街拍動態感,以直挺鋼鐵巨塔為背景・在塞納河橋畔牽手漫步抓拍生動婚紗瞬間
9/20 (日),10:15,保母車內更換造型與髮型飾品・車上小歇,保母車內 (深色隱密隔熱紙),✅造型師全天跟妝,造型師現場更換新娘第 2 套優雅髮髻與補妝・喝溫水吃點巧克力餅乾補充體力
9/20 (日),11:00,⭐ 第四站：亞歷山大三世橋 (Pont Alexandre III),塞納河最美金箔飛馬大橋,⬜華麗經典,金碧輝煌的青銅飛馬雕像、古典路燈與後方傷兵院金色圓頂・電影感拉滿
