日期,時間,行程名稱,交通 / 備註,狀態,詳細執行筆記與注意事項心法
9/21 (一),整天,聖禮拜堂 ➔ 古監獄 ➔ 聖母院 ➔ 還婚紗 ➔ 16:00 Chez Janou ➔ 凱旋門 ➔ 老佛爺香榭店,地鐵與步行 (西堤島/瑪黑/香榭大道),已預約,08:15聖米歇爾寄放禮服・08:30排聖禮拜堂・古監獄・12:30聖母院・14:45還婚紗・16:00Chez Janou・18:05凱旋門・老佛爺香榭店・宿B&B
9/21 (一),07:45,飯店出發・攜帶婚紗禮服袋搭地鐵前往聖米歇爾,地鐵 7 號轉 10 號至 Odéon 或 Cluny 站,地鐵單程票 / Navigo Easy,車程約 20-25 分鐘・攜帶白紗禮服防塵袋與配件・出站前往聖米歇爾橋頭寄物處
9/21 (一),08:15,聖米歇爾橋頭特約店寄放禮服防塵袋,Nannybag / Bounce 特約寄放點,線上預約 (約5-6€),聖禮拜堂嚴禁攜帶大件行李進入・將婚紗防塵袋寄存於聖米歇爾橋旁特約店家・兩手空空過橋前往西堤島
9/21 (一),08:20,外帶早餐與熱咖啡（3 家備選名單供現場挑選）,聖米歇爾廣場周邊,現場付款,①Boulangerie Panis(21 Rue du Petit Pont・07:00開・現烤可頌與熱拿鐵) ②PAUL Place Saint-Michel(07:00開・外帶快速套餐) ③Pret A Manger(07:30開・熱烤起司火腿可頌卷)
9/21 (一),08:30,⭐ 聖禮拜堂 (Sainte-Chapelle) 現場無預約排隊,西堤島 8 Boulevard du Palais (司法宮入口),現場排隊 (無預約通道第1批),因未預約時段・於 08:30 準時排在【無預約通道 (Sans réservation)】前排・邊吃早餐邊等 09:00 開門・避開上午排隊人潮
9/21 (一),09:00,⭐ 聖禮拜堂內部參觀 ＆ 開通博物館通票 (PMP),西堤島 (Île de la Cité),✅博物館通票開通日 (或現場購票),第一批入場・持 PMP 開通進場・參觀 2 樓大殿 15 面高達 15 米的彩繪玻璃窗・欣賞聖經故事彩繪畫卷・參觀時間約 90 分鐘
9/21 (一),10:30,⭐ 巴黎古監獄 (Conciergerie) 內部參觀,自聖禮拜堂步行 30 秒直達,✅博物館通票 (免預約),參觀中世紀哥德式挑高衛兵大廳・法國大革命歷史展廳・參觀瑪麗王后生前最後關押的囚室與祈禱室・參觀時間約 75 分鐘
9/21 (一),11:45,西堤島花市 (Marché aux Fleurs) 散步與休息,西堤島花卉市集 / 太子廣場,⬜免費漫步,參觀西堤島百年花市・在綠蔭長椅稍作休息喝水・或漫步至太子廣場欣賞古典紅磚建築
9/21 (一),12:30,⭐ 巴黎聖母院 (Notre-Dame) 內部深度參觀,西堤島巴黎聖母院正門,已預約 (⚠️ 9/18 官方App預約時段),自古監獄沿河畔步行 5 分鐘抵達正門・出示官方 App 免費預約碼入場・參觀修復完成的中央大廳、玫瑰花窗與祭壇・門口廣場尋找「巴黎原點 (Point Zéro)」石碑
9/21 (一),14:15,取回禮服防塵袋 ➔ 步行前往 6 區婚紗工作室,塞納河畔漫步至 22 Rue de l'Odéon,⬜步行約 8-10 分鐘,跨過聖小橋回到聖米歇爾特約店提取禮服袋・沿 Boulevard Saint-Germain 悠閒漫步至 The Bride Paris
9/21 (一),14:45,⭐ The Bride Paris 歸還婚紗（卸下重裝換穿輕便鞋）,"22 Rue de l'Odéon, 75006 Paris",✅點交歸還,門禁 Code【2734】/ 電梯 Code【1869】(搭至1/2樓右門)・點交白紗與配件無損・換回平底鞋正式卸下所有裝備
9/21 (一),15:20,搭乘公車 96 號（或地鐵）前往瑪黑區餐廳,公車 96 號直達 (Odéon ➔ Saint-Paul),地鐵單程票 / Navigo Easy,搭乘公車 96 號一車直達瑪黑區（車程約 18-20 分鐘・免走地鐵樓梯・欣賞塞納河街景）・出站步行 4 分鐘抵達餐廳
9/21 (一),16:00,⭐ 🔴 Chez Janou 經典南法小酒館（已訂位 16:00）,"2 Rue Roger Verlomme, 75003 Paris",✅已訂位 16:00 (2人),瑪黑區經典南法小酒館・必點：法式蒜香焗烤蝸牛、紅酒燉牛肉、普羅旺斯燉菜・以及招牌手工巧克力慕斯・用餐時間約 90 分鐘
9/21 (一),17:45,步行至 Saint-Paul 站 ➔ 搭地鐵 1 號線前往凱旋門,地鐵 1 號線 (Saint-Paul ➔ Charles de Gaulle - Étoile),地鐵單程票 / Navigo Easy,地鐵 1 號線直達免轉車（車程約 18 分鐘）・出站依指標走地下連通道直達凱旋門正下方
9/21 (一),18:05,👑 ⭐ 凱旋門頂樓登頂 (Arc de Triomphe),戴高樂廣場中央,✅持博物館通票免費 (免預約),持 PMP 通票走專屬通道入場（營業至 23:00）・登上 50 米頂端俯瞰 12 條放射狀大道晚霞車流・遠眺艾菲爾鐵塔
9/21 (一),19:30,香榭麗舍大道漫步前往老佛爺百貨,香榭麗舍大道步行 700 公尺 (約8-10分),⬜免費漫步,沿香榭麗舍大道緩步下坡散步・欣賞大道黃昏街景
9/21 (一),19:40,🛍️ 老佛爺百貨香榭麗舍旗艦店 (Galeries Lafayette Champs-Élysées),"60 Avenue des Champs-Élysées, 75008 Paris",⬜免預約 (營業至 21:00),丹麥 BIG 建築事務所設計・欣賞挑高中庭 6 個懸空幾何玻璃浮島與光之隧道入口・逛設計師選品、精品與香氛・營業至 21:00
9/21 (一),21:00,搭車返回 13 區 B&B 飯店休息,Franklin D. Roosevelt 站搭地鐵,地鐵單程票 / Navigo Easy,搭乘地鐵返回飯店休息・整理今日收穫
9/22 (二),整天,奧塞 ➔ 裝飾藝術博物館 ➔ 14:00舒芙蕾午餐 ➔ 15:00海軍府 ➔ 羅丹美術館 ➔ 樂蓬馬歇逛街&Ritz甜點,地鐵與步行 (左岸/協和廣場/聖日耳曼),已預約,08:40早餐・08:50奧塞・12:00裝飾藝術博物館・14:00舒芙蕾午餐(備案L'Empire)・15:00海軍府(已預約)・16:45羅丹美術館・18:15樂蓬馬歇&Ritz甜點・宿B&B
9/22 (二),08:15,飯店出發・搭乘地鐵前往奧塞美術館（Rue du Bac 站）,地鐵 7 號轉 10/12 號至 Rue du Bac 站,地鐵單程票 / Navigo Easy,避開上班尖峰出發・車程約 25 分鐘・出站沿 Rue du Bac 漫步
9/22 (二),08:40,☕ 奧塞旁外帶法式早餐（Éric Kayser 或 Les Antiquaires）,"8 Rue du Bac, 75007 Paris",⬜現場購買 (07:00已開),出站順路至烘焙名店 Éric Kayser 外帶剛出爐現烤可頌與熱咖啡（或對面口袋名單 Les Antiquaires）・步行 3 分鐘直達奧塞
