日期,星期,時間,天主題,地點,主要景點,交通方式,票券/備忘,住宿,早上行程,中午行程,晚上行程,預約狀態,重要提醒
9/15,二,23:30,出發日,桃園國際機場,—,直飛巴黎航班,—,機上,提早3小時到機場報到,—,23:30 起飛・機上休息,—,攜帶護照/網卡/轉接頭
9/16,三,7:55,抵達・調整時差,巴黎戴高樂機場(CDG),塞納河畔・孚日廣場・瑪黑區,RER B線或機場接駁巴士,—,巴黎市區飯店,07:55 抵達・辦理入境・領行李,飯店寄行李・小酒館午餐,左岸或瑪黑區無壓力散步・早點休息調時差,—,機場→市區車程60-80分鐘
9/17,四,,博物館通票 Day 1,羅丹美術館・傷兵院・艾菲爾鐵塔・凱旋門,羅丹《思考者》・拿破崙墓・鐵塔・凱旋門觀景台,地鐵至Varenne站→傷兵院步行→地鐵8號→地鐵6號,博物館通票四天（開通日）,巴黎市區飯店,09:30 羅丹美術館→11:30 傷兵院,戰神廣場午餐・艾菲爾鐵塔各角度拍照,18:30-20:30 登凱旋門頂・香榭麗舍晚餐,需預約凱旋門時段,通票需在第一個景點開通・下午先拍鐵塔再上凱旋門
9/18,五,,博物館通票 Day 2,杜樂麗花園・協和廣場・羅浮宮,莫娜麗莎・勝利女神・維納斯,地鐵至Tuileries站→步行至羅浮宮,博物館通票（需預約14:00入場時段）,巴黎市區飯店,杜樂麗花園早午餐・協和廣場散步,14:00 羅浮宮深度參觀（避開早晨團客）,20:30出館拍金字塔夜景・宮廊附近晚餐,🔴需預約 ticketlouvre.fr,週五夜間延長至21:45・建議卡魯塞爾地下入口
9/19,六,,博物館通票 Day 3,西堤島・左岸・拉丁區,聖禮拜堂・古監獄・莎士比亞書店・聖母院・萬神殿,地鐵4號至Cité站→步行,博物館通票（需預約聖禮拜堂第一批）,巴黎市區飯店,09:30 聖禮拜堂第一批→古監獄10:45-12:00,左岸午餐・莎士比亞書店・聖母院14:35-16:00,16:30 萬神殿・拉丁區油封鴨晚餐,🔴聖禮拜堂需預約・聖母院App預約,聖母院重建後免費但需App預約時段・抵達後立刻搶9/19時段
9/20,日,,博物館通票 Day 4,奧塞美術館・海軍府・橘園・塞納河,梵谷・莫內・雷諾瓦真跡・睡蓮全景・塞納河日落,RER C至Musée d'Orsay站→步行→遊船碼頭,博物館通票（橘園需預約）,巴黎市區飯店,09:30 奧塞美術館至12:30,海軍府14:00→橘園16:00-17:30,19:15搭遊船賞日落與鐵塔點燈・慶祝晚餐,🔴橘園需預約 musee-orangerie.fr,遊船改在19:15登船才能看到19:35日落與20:00鐵塔閃燈
9/21,一,,還婚紗＋左岸早餐＋博物館通票開通,The Bride Paris・聖日耳曼左岸・西堤島・杜樂麗・瑪黑區,聖禮拜堂・古監獄・橘園美術館・Chez Janou,地鐵至Odéon→步行聖日耳曼→步行西堤島→地鐵1號線,博物館通票四天（開通日）,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles（BB22426149）,08:30 The Bride Paris還婚紗→09:00左岸晨光咖啡早餐→11:00聖禮拜堂→12:00古監獄,13:00輕食→14:00橘園美術館（莫內睡蓮）→15:15協和廣場,16:00⭐Chez Janou已訂位（巨盆巧克力慕斯）→18:00瑪黑區漫步,🔴聖禮拜堂需預約11:00或11:30・橘園需預約14:00,08:30準時還婚紗・卸下重裝在左岸享用悠閒早餐再開始博物館行程
9/22,二,,奧塞＋聖母院＋先賢祠＋Polène左岸樂蓬馬歇,左岸・西堤島・拉丁區,奧塞美術館・巴黎聖母院・先賢祠・Polène樂蓬馬歇專櫃,地鐵與步行（10號線至Sèvres-Babylone）,博物館通票四天,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles（BB22426149）,09:30奧塞美術館（印象派莫內雷諾瓦）→12:30拉丁區午餐,14:35巴黎聖母院參觀→16:30先賢祠,17:30⭐Polène左岸樂蓬馬歇專櫃（買包免大排隊・合併退稅）→拉丁區油封鴨晚餐,聖母院需App預約14:35,樂蓬馬歇專櫃可與百貨專櫃合併退稅・營業至19:45
9/23,三,,Polène香榭旗艦店＋羅浮宮深度遊＋金字塔夜景,香榭麗舍・協和廣場・羅浮宮,Polène香榭旗艦店・地下卡魯塞爾・羅浮宮（週三夜間至21:00）・玻璃金字塔夜景,地鐵1號線至Franklin D. Roosevelt,博物館通票四天,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles（BB22426149）,10:00⭐Polène香榭旗艦店朝聖買包（開門第一批免排隊）→11:30地下卡魯塞爾商場（包包寄放免費置物櫃・輕食墊胃）,12:30⭐羅浮宮深度參觀（三寶路線：勝利女神・蒙娜麗莎・維納斯・拿破崙三世套房）,20:00出館拍攝科幻金光玻璃金字塔夜景→宮廊周邊晚餐,✅羅浮宮已預約12:30（C262540015444 / V260782031751）,香榭旗艦店上午開門人少・包包寄放羅浮宮地下置物櫃一身輕
9/24,四,,聖心堂・Pink Mamma・歌劇院夜間導覽・外帶早睡,蒙馬特・皮加勒・奧斯曼大道商圈,聖心堂俯瞰・Pink Mamma午餐・加尼葉歌劇院夜間閉館導覽,地鐵2/12/7號線,加尼葉歌劇院導覽門票（op07092026-932770962）,B&B HOTEL Paris Italie Porte de Choisy 3 étoiles（BB22426149）,09:30聖心堂俯瞰巴黎市景・愛牆漫步,12:00⭐Pink Mamma午餐（招牌松露麵）→13:45奧斯曼大道商圈百貨漫步,16:30集合・17:00⭐加尼葉歌劇院閉館夜間導覽→18:30外帶熟食回飯店早睡,歌劇院需提早30分抵達,嚴禁攜帶大行李進歌劇院・明日05:30起床趕06:48高鐵
