日期,時間,重點,行程交通,預約狀態,備註,,,,,
【初見巴黎滿滿博物館】9/15–9/20,,,,,,,,,,
9/15 (二) 出發日,整天,出發前準備,桃園國際機場,⬜免費,護照/網卡/轉接頭/轉帳卡確認,,,,,
9/15 (二) ,23:30,起飛！搭直飛航班前往巴黎（約13小時）,直飛班機,⬜免費,機上充分休息・備好頸枕眼罩,,,,,
,,,,,,,,,,
9/16 (三) 抵達調時差,7:55,抵達巴黎戴高樂機場 CDG,RER B線或機場接駁巴士→市區（60-80分鐘）,⬜免費,通關+領行李約1.5小時・Navigo或Navigo Easy搭機場RER,,,,,
9/16 (三) ,中午,飯店寄行李・享用巴黎第一餐,步行至附近小酒館 Bistrot,⬜免費,庫克太太三明治 or 法式洋蔥湯,,,,,
9/16 (三) ,傍晚,左岸/瑪黑區無壓力散步調時差,步行・塞納河畔・孚日廣場,⬜免費,買個小天使冰淇淋・晚餐後早點回飯店,,,,,
,,,,,,,,,,
9/17 (四) 博物館通票 Day 1,9:30,（33）聖禮拜堂 Sainte-Chapelle・極致彩繪玻璃,地鐵4號→Cité站步行,已預約 paris-sainte-chapelle.fr,第一批晨光穿透彩窗最震撼！PMP可用,,,,,
9/17 (四) ,10:45,（6）古監獄 Conciergerie・瑪麗王后囚禁地,步行2分鐘,✅博物館通票,10:45-12:00,,,,,
9/17 (四) ,12:30,左岸午餐・莎士比亞書店 Shakespeare & Co. ,跨塞納河步行,,13:30-14:30 逛書店,,,,,
9/17 (四) ,14:35,（34）巴黎聖母院內部參觀 (註：清單 34 號原為聖母院鐘樓/塔樓 Tours de Notre-Dame),步行3分鐘,已預約（Notre-Dame de Paris App）,⚠️重建後免費但需提前1-2天在App搶時段・抵達法國後立刻搶9/19時段！,,,,,
9/17 (四) ,16:30,（31）萬神殿 Panthéon・居里夫人・雨果・伏爾泰墓 ( Panthéon 亦常譯為先賢祠),沿聖米歇爾大道步行15分鐘,✅博物館通票,16:30-18:30・宏偉穹頂令人嘆為觀止,,,,,
,晚餐,拉丁區巷弄・傳統法式油封鴨晚餐 ,步行拉丁區,,高CP值・巷弄餐廳避開觀光客,,,,,
,,,,,,,,,,
,,,,,,,,,,
9/18 (五) 博物館通票 Day 2,9:00,（22）羅浮宮深度參觀（勝利女神→蒙娜麗莎→維納斯三寶路線）,地鐵1號→Tuileries站,,坐綠色鐵椅曬太陽,,,,,
9/18 (五) ,14:00,飯店早餐＋羅浮宮午餐,步行10-15分鐘 / 卡魯塞爾地下入口,已預約 ticketlouvre.fr,羅浮宮帳號密碼已經存在密碼APP,/Users/chang/Desktop/2026 旅行/法國APP/data,,,,
9/18 (五) ,20:30,金字塔夜景（科幻金光）・宮廊 Palais Royal 附近晚餐,步行至金字塔廣場,,點燈後玻璃金字塔最美,,,,,
,,,,,,,,,,
9/19 (六) 博物館通票 Day 3,9:30,（30）羅丹美術館《思考者》與玫瑰花園,地鐵13號線→Varenne站步行,✅博物館通票開通日,09:30-11:30・通票在此景點開通使用,,,,,
