日期,時間,重點,行程交通,預約狀態,備註,
【巴黎迪士尼好讚讚】9/21–9/24,,,,,,
9/21 (一) 還婚紗＋左岸早餐＋博物館通票開通,07:45,飯店出發（提著婚紗搭地鐵 7 號轉 10 號至 Odéon 站）,地鐵至 Odéon 站步行,⬜地鐵,提著婚紗出發・約 25-30 分鐘車程,
9/21 (一) 還婚紗＋左岸早餐＋博物館通票開通,08:30,⭐ The Bride Paris 準時還婚紗（卸下重裝一身輕！）,步行至 22 rue de l'Odéon,✅預約 08:30 歸還,門禁 Code：2734 / 電梯 Code：1869,
9/21 (一) 還婚紗＋左岸早餐＋博物館通票開通,09:00,聖日耳曼左岸晨光咖啡與早餐（雙叟/花神咖啡館享用可頌熱拿鐵）,步行聖日耳曼德佩,⬜自費用餐,享受無裝一身輕的巴黎晨光時光,
9/21 (一) 還婚紗＋左岸早餐＋博物館通票開通,10:30,步行漫步跨聖米歇爾橋前往西堤島,步行 10-15 分鐘,⬜免費,途經塞納河畔舊書攤風景,
9/21 (一) 還婚紗＋左岸早餐＋博物館通票開通,11:00,聖禮拜堂 Sainte-Chapelle（博物館通票開通！正午陽光穿透彩繪玻璃最震撼）,西堤島,✅博物館通票開通日,🔴建議預約 11:00 或 11:30 場次・PMP 可用,
9/21 (一) 還婚紗＋左岸早餐＋博物館通票開通,12:00,巴黎古監獄 Conciergerie（瑪麗王后囚室）,步行 2 分鐘,✅博物館通票,免預約直接進,
9/21 (一) 還婚紗＋博物館通票開通,13:15,西堤島/塞納河畔外帶輕食（⚠️ 16:00 大餐留胃・隨意吃可頌即可）,步行塞納河畔,⬜免費,不要吃太飽！16:00 Chez Janou 大餐,
9/21 (一) 還婚紗＋博物館通票開通,14:00,⭐橘園美術館 Musée de l'Orangerie（沉浸莫內 360 度巨幅睡蓮）,地鐵 1 號線至 Concorde 站,✅博物館通票,🔴需預約 14:00 場次,
9/21 (一) 還婚紗＋博物館通票開通,15:15,協和廣場漫步 → 搭地鐵 1 號線直奔瑪黑區,地鐵 1 號線至 Saint-Paul 站,⬜免費,,
9/21 (一) 還婚紗＋博物館通票開通,16:00,⭐🔴 Chez Janou 準時入座（已訂位！焗蝸牛＋招牌巨盆巧克力慕斯）,步行瑪黑區,✅已訂位 16:00,瑪黑區超人氣南法小酒館,
9/21 (一) 還婚紗＋博物館通票開通,18:00,瑪黑區孚日廣場漫步逛街消食,步行,⬜免費,悠閒散步回飯店,
,,,,,,
9/22 (二) 博物館通票 Day 2,09:30,⭐奧塞美術館（梵谷・莫內・雷諾瓦・米勒《拾穗》真跡）,RER C → Musée d'Orsay 站,✅博物館通票,直奔五樓精華・拍舊時鐘透視背景,
9/22 (二) 博物館通票 Day 2,12:30,左岸午餐,步行至拉丁區,⬜免費,,
9/22 (二) 博物館通票 Day 2,14:35,巴黎聖母院內部參觀,步行 3 分鐘,已預約（Notre-Dame App）,⚠️重建後免費但需 App 預約時段,
9/22 (二) 博物館通票 Day 2,16:30,先賢祠 Panthéon（居里夫人・雨果・伏爾泰墓）,步行 15 分鐘,✅博物館通票,宏偉穹頂令人嘆為觀止,
9/22 (二) 博物館通票 Day 2,17:30,⭐ Polène 左岸樂蓬馬歇專櫃（Le Bon Marché 0樓・免大排隊買包）,地鐵 10 號線至 Sèvres-Babylone 站,⬜免預約,排隊最短！可與貴婦百貨/超市合併退稅（營業至19:45）,
9/22 (二) 博物館通票 Day 2,晚餐,拉丁區巷弄法式油封鴨晚餐・塞納河畔漫步,地鐵至拉丁區,⬜免費,高 CP 值巷弄餐廳・欣賞左岸夜景,
,,,,,,
9/23 (三) 博物館通票 Day 3,10:00,⭐ Polène 香榭旗艦店朝聖（10:00開門第一批・免排隊買包）,地鐵 1 號線至 Franklin D. Roosevelt 站,⬜免預約（開門黃金時段）,凱特王妃同款・開門避開排隊人潮・現場開立退稅單,
9/23 (三) 博物館通票 Day 3,11:30,地下卡魯塞爾商場（包包放免費置物櫃・外帶輕食）,地鐵 1 號線直達,⬜免費,卸下戰利品一身輕・商場內舒適吹冷氣墊胃,
9/23 (三) 博物館通票 Day 3,12:30,⭐羅浮宮深度參觀（勝利女神→蒙娜麗莎→維納斯三寶路線）,走地下卡魯塞爾入口進館,✅已預約（C262540015444）,週三夜間延長至 21:00・憑證存 data/0923_羅浮宮_雙人門票預約憑證.pdf,
9/23 (三) 博物館通票 Day 3,20:00,出館拍攝金字塔夜景・宮廊附近晚餐,步行至金字塔廣場,⬜免費,點燈後玻璃金字塔最美・浪漫法式晚餐,
,,,,,,
9/24 (四) 聖心堂＋歌劇院導覽,早上,蒙馬特高地漫步・聖心堂俯瞰巴黎市景・愛牆,地鐵 2 號 → Anvers 站步行登山,⬜免費,⚠️注意手環黨（雙手插口袋・眼神死快步走）,
9/24 (四) 聖心堂＋歌劇院導覽,12:00,⭐ Pink Mamma 午餐（必點松露義大利麵・窯烤披薩）,步行 10 分鐘下坡至皮加勒區,⬜免費,超人氣排隊名店,
9/24 (四) 聖心堂＋歌劇院導覽,13:45,沿 Rue Blanche 下坡漫步至歌劇院・奧斯曼大道商圈,步行 1.3km / 15-18 分鐘,⬜免費,逛春天/老佛爺百貨・喝咖啡休息,
9/24 (四) 聖心堂＋歌劇院導覽,16:30,⚠️提早 30 分抵達歌劇院！rue Scribe × rue Auber 轉角加尼葉雕像後方入口,步行,✅已購票 op07092026-932770962,手機出示 Email Voucher 於櫃檯兌換,
9/24 (四) 聖心堂＋歌劇院導覽,17:00,⭐加尼葉歌劇院閉館夜間導覽（The Mysteries of the Palais Garnier・90 分鐘）,導覽專屬入口,✅已購票（雙人 €84）,金碧輝煌大階梯・夏卡爾天頂畫！嚴禁大行李,
9/24 (四) 聖心堂＋歌劇院導覽,18:30,導覽結束 → 外帶晚餐回飯店早睡（隔日 05:30 起床趕 06:48 高鐵）,地鐵 7 號線回 13 區,⬜免費,方案 A：老佛爺美食館烤半雞 / 方案 B：Aki 日式便當 / 方案 C：13 區港式燒臘,
