婚紗挑選加價,https://drive.google.com/file/d/10JxjRMM3cJLJsb_I6JjiOnMxT-nAHxav/view?usp=sharing
婚紗挑選一般,https://drive.google.com/file/d/1n1OpR8wZHXQZyFv_XmPPz0EMolbH2cwp/view?usp=sharing
婚紗店MAP,https://maps.app.goo.gl/BZKdjwEEG56TchrZ9
婚紗店官網,https://www.thebrideparis.com/
,
,
攝影師作品,https://www.instagram.com/paris_odyssey?igsh=MW0wdG04Z3ZwNDdneQ%3D%3D&utm_source=qr
,https://www.instagram.com/hhvisual?igsh=azBpanR5MGhuNnpv&utm_source=qr
攝影師官網,https://www.paris-odyssey.fr/services-2
,
,
,
日出時間 ,7:00
梳畫時間,4:00
巴黎市區可選擇的景點有：巴黎鐵塔、羅浮宮、亞歷山大山三世橋、塞納河畔、巴黎街景咖啡廳、聖母院、皇家宮殿、聖心堂等。 城堡套組拍攝景點為「楓丹白露宮」。,
,
,
,
Q：拍攝日當日行程為何?,
A：拍攝前將派專車接送您至工作室進行拍攝前之事前準備工作，拍攝期間亦有專車載送；拍攝結束專車將會載送您回飯店。,
,
Q：拍攝日若下雨怎麼辦？,
A：若拍攝日下雨，將啟動雨天備案調整拍攝行程和景點。在巴黎，雨天不會是一整天，雨天仍可進行拍攝，我們將安排在沒下雨或是雨勢較小的時段拍攝。 若您及工作室的檔期允許，會重新安排拍攝日期。,
,
,
,
"預約與試穿資訊時間：2026 年 9 月 17 日（週四）上午 11:00。  
地點與地址：22 rue de l Odeon, 75006 Paris。 
 門禁 Code：2734。  電梯 Code：1869（電梯限乘 3 人，搭至 1/2 樓，下半層樓梯右側門「The Bride Paris」）。  
試紗時間：約 60–90 分鐘，請準時到達，勿提前到達（以保護前一位顧客隱私）。 
 同行人數：最多可攜帶 2 位親友陪同，試穿時可以簡單拍照留念。 
 試前準備與注意事項穿著與妝容：請穿著膚色內衣並帶好 NuBra（隱形胸罩）；建議化淡妝並配戴隱形眼鏡。  飲食限制：店內僅限飲水，禁止攜帶食物與其他飲料。  
禮服挑選規則：可預選 5 款試紗（Classic 或 Premium 系列皆可）。  因您為 Xuan 的合作客人，免收預選 5 件的試紗費。
  拍攝套餐包含一件 Classic 系列婚紗。若升級選擇 Premium 系列，可直接折抵 400 歐元。  
試穿選定後，店家提供專業免費修改服務（Alterations）。  
押金與歸還押金金額：採 1:1 比例（等同於租金金額）。婚紗歸還並確認完好後，押金將全額退還。  
取件與歸還流程：9 月 17 日試穿修改完成後可直接帶走，於 9 月 20 日拍攝完畢當天歸還店家。  

CLASSIC 57 SIZE 32-38
CLASSIC 102 SIZE 32-40
CLASSIC 127 SIZE 32-38
PREMIUM 111 SIZE 32-38 | 1200 EUR|
PREMIUM 90 SIZE 36-38 | 1750 BUK
",
