https://oui-my-france.com/road-trip-driving-in-france/#%e2%9e%8f-%e6%b3%95%e5%9c%8b%e5%8a%a0%e6%b2%b9%e7%ab%99,,,,
,,,,
https://mimigo.tw/french-car-rental/,,,,
,,,,
https://gina931715.pixnet.net/blog/posts/7117049628,,,,
,,,,
,,,,
法國租車自駕全攻略與注意事項對照表,,,,
大分類,子項目,核心注意事項 / 項目,時機 / 場所,詳細說明與實務建議
一、 必帶物品與文件清單,主要文件,駕駛本人護照 (正本),隨身攜帶,取車審查極為嚴格，必須放在隨身包包內
一、 必帶物品與文件清單,主要文件,台灣駕駛執照 (正本),隨身攜帶,需在有效期限內；若已過期需先至監理站辦理更換
一、 必帶物品與文件清單,主要文件,國際駕照 (正本+影本),隨身攜帶,需提前至監理站辦理，且必須在有效期限內
一、 必帶物品與文件清單,主要文件,主要駕駛人實體信用卡,隨身攜帶,用於支付租車費與預扣押金，卡面英文姓名須與護照完全一致
一、 必帶物品與文件清單,主要文件,租車預訂單 / 憑證,隨身攜帶,建議印出紙本備查，並同步備份電子檔於手機
一、 必帶物品與文件清單,導航與隨身裝備,車用手機架,車內必備,全程手機地圖導航必備
一、 必帶物品與文件清單,導航與隨身裝備,含通話功能 SIM卡 / eSIM,隨身攜帶,部分加油站或緊急聯繫需打電話；建議預先下載 Google 離線地圖
一、 必帶物品與文件清單,導航與隨身裝備,太陽眼鏡,隨身攜帶,法國陽光強烈（特別是南法或夏季），駕駛安全必備
一、 必帶物品與文件清單,車載安全配備,反光安全背心,車內乘客區,車內須自備/檢查。須放在車廂內容易取得處，絕對不可鎖在後車廂
一、 必帶物品與文件清單,車載安全配備,三角警示牌,車內/後車廂,車內須自備/檢查。若發生故障或事故，需放置於車後 30 公尺處警示
二、 財務、保險與押金,信用卡與PIN碼,預借現金 PIN 碼 (4位數),出國前辦理,出國前務必向發卡銀行開通「預借現金」並取得4位數密碼；自助加油站及繳費機常需輸入
二、 財務、保險與押金,信用卡與PIN碼,備用信用卡 (多張),隨身攜帶,建議 VISA 與 MasterCard 各準備 1~2 張，預防部分機台感應失敗
二、 財務、保險與押金,押金規定,租車押金 (Dépôt),取車時預扣,取車時預扣 €800 歐元起 (約台幣3-5萬)；請確保額度充足，還車無誤後退還
二、 財務、保險與押金,額外費用,青年駕駛費,櫃檯加收,法定駕照年齡雖為18歲，但 18-25 歲駕駛通常每天會被加收額外費用
二、 財務、保險與押金,額外費用,額外駕駛人費用,櫃檯登記,若多人輪流開車必須現場登記並出示證件；未登記人駕駛若出事保險完全不理賠
二、 財務、保險與押金,額外費用,甲租乙還費 (Drop Charge),預訂時計算,跨城或跨國還車會產生較高的異地還車手續費
二、 財務、保險與押金,額外費用,里程數限制確認,預訂時確認,留意是否為「無限里程」；若有每日上限 (如200km)，超出部分收費極高
二、 財務、保險與押金,額外費用,跨國手續費,取車時告知,若預計將車開往鄰國 (如瑞士、德國)，取車時必須告知櫃檯，否則保險失效
二、 財務、保險與押金,保險規劃,加購全險 / 完全保障,預訂/取車時,基本險(CDW)自付額高且不含車窗/輪胎/底盤/拖吊；建議加購零自付額全險
二、 財務、保險與押金,保險規劃,取還車全程錄影拍照,取車/還車時,務必對車身、輪圈、玻璃完整錄影；即便櫃檯稱小傷沒關係也須拍照留存
三、 法國加油站須知,油品辨識,柴油 (Diesel / Gazole),加油時確認,油槍標示為黑色或黃色；取車時務必向工作人員確認車輛油種
三、 法國加油站須知,油品辨識,95無鉛汽油 (SP95 / E10),加油時確認,標示為 Sans Plomb 95 或 E10，綠色標示
三、 法國加油站須知,油品辨識,98無鉛汽油 (SP98),加油時確認,標示為 Sans Plomb 98，綠色標示
三、 法國加油站須知,加油流程,無人自助加油站,加油時,插入信用卡 → 輸入 4 位數 PIN 碼 → 取卡後拿起油槍加油
三、 法國加油站須知,加油流程,附設商店加油站,加油時,停好車直接加油 → 加完記下加油島編號 → 進入商店告知編號並刷卡/付現
三、 法國加油站須知,加油規則,滿油還車規定,還車前,領車時油量多少，還車就須加到相同油量；未加滿會被收取高昂油資與代加服務費
三、 法國加油站須知,加油策略,提早加油規劃,日常行程中,鄉間與市區加油站密度較低，油量低於 1/4 或每天早上出發前建議先加滿油
四、 交通規則與駕駛實務,路權規則,圓環 (Rond Point) 優先權,駕駛中,圓環內車輛擁有絕對優先權！進入圓環前必須停下禮讓，確認左側無來車才可駛入
四、 交通規則與駕駛實務,路權規則,右側優先權 (Priorité à droite),駕駛中,無紅綠燈或無明確標誌的路口，遵循「右方來車優先」原則
四、 交通規則與駕駛實務,高速公路,速限規定,駕駛中,高速公路一般速限 130 km/h，雨天降為 110 km/h；市區速限通常為 50 或 30 km/h
四、 交通規則與駕駛實務,高速公路,內側車道為超車道,駕駛中,最左側為純超車道，超車完畢必須立刻駛回右側車道，絕對不可長時間佔用
四、 交通規則與駕駛實務,高速公路,收費站 (Péage) - 橘色「t」,過收費站,電子自動繳費通道 (Télépéage)，未裝設感應裝置者切勿駛入
四、 交通規則與駕駛實務,高速公路,收費站 (Péage) - 信用卡圖示,過收費站,僅限信用卡刷卡付款通道
四、 交通規則與駕駛實務,高速公路,收費站 (Péage) - 歐元圖示,過收費站,現金通道 (部分機器僅接收歐元硬幣，不收鈔票)
四、 交通規則與駕駛實務,高速公路,收費站 (Péage) - 綠箭頭+「t」,過收費站,全功能通道，接受現金、信用卡及電子感應
四、 交通規則與駕駛實務,停車規則,路邊收費停車 (Payant),停車時,停好車至人行道繳費機預繳費用，印出憑證後「必須放在前擋風玻璃內側」備查
四、 交通規則與駕駛實務,停車規則,藍線停車格,停車時,特定時段免費，但必須配合「藍色計時盤 (Disque)」設定到達時間放置於車內
四、 交通規則與駕駛實務,停車規則,黃線 / 紅線停車格,停車時,黃線多為商業裝卸/公務專用；紅線嚴禁停車
四、 交通規則與駕駛實務,市區限制,舊城區感應柱 (灰色小柱),駕駛中,舊城區或市中心巷口若有灰色感應柱為居民專用，切勿跟車闖入以免砸車罰款
五、 治安與防竊 (防破窗),防竊策略,清空車內所有物品,停車時,任何時候絕對不要將行李、購物戰利品或貴重物品留在車上
五、 治安與防竊 (防破窗),防竊策略,清空視線可及區域,停車時,連手機架、充電線、零錢盒、空包包都不要擺放，保持車內從外面看「完全空無一物」
五、 治安與防竊 (防破窗),停車選擇,選擇安全的停車場,停車時,優先選擇飯店專屬停車場或有人看管的室內地下停車場，避免隨意停放路邊或偏僻休息站
