日期,時間,重點,行程交通,預約狀態,備註,
【諾曼第自駕真好玩】9/25–10/1,,,,,,
9/25 (五) 巴黎→聖馬洛,5:45,⭐抵達巴黎蒙帕納斯車站 Gare Montparnasse,地鐵/計程車,⬜免費,提早1小時以上到月台,
9/25 (五) 巴黎→聖馬洛,6:48,TGV高鐵出發 Paris Montparnasse→Rennes,TGV 高鐵（訂位代碼 4WCP2R・2人共68€）,✅車票已買,06:48準時出發・準時！,
9/25 (五) 巴黎→聖馬洛,8:15,抵達雷恩 Rennes・轉乘TER區間車→聖馬洛,TER 區間車（需另在 SNCF App 購買）,🔴TER票需另購,建議搭08:35或09:00班次・車程約50分鐘,
9/25 (五) 巴黎→聖馬洛,9:30,抵達聖馬洛・飯店行李寄放,步行至飯店,⬜免費,,
9/25 (五) 巴黎→聖馬洛,中午,走入城門・蕎麥鹹薄餅 Galette 午餐,步行古城內,⬜免費,布列塔尼傳統料理,
9/25 (五) 巴黎→聖馬洛,下午,登上古城牆 Remparts de Saint-Malo 環城一圈（約2公里）,步行,⬜免費,右手邊大西洋・左手邊花崗岩石屋・俯瞰翡翠海岸與國家碉堡,
9/25 (五) 巴黎→聖馬洛,下午茶,Kouign-amann 焦糖奶油酥（布列塔尼最具代表性點心）,步行,⬜免費,香甜酥脆必買！,
9/25 (五) 巴黎→聖馬洛,晚餐,石造小酒館・爆盤海鮮拼盤晚餐,步行古城內,⬜免費,新鮮牡蠣・龍蝦・貽貝,
,,,,,,
9/26 (六) 取車→聖米歇爾山,早上,飯店早餐・聖馬洛海灘最後巡禮拍照,飯店周邊步行,⬜免費,,
9/26 (六) 取車→聖米歇爾山,上午,辦理租車取車手續（租車公司位於古城周邊或車站）,聖馬洛市區,⬜按租約,確認車輛・設定衛星導航・確認油箱,
9/26 (六) 取車→聖米歇爾山,中午,⭐自駕開始！聖馬洛→聖米歇爾山,自駕（約45-50分鐘・路況筆直好開）,⬜免費,沿途諾曼第海岸風景,
9/26 (六) 取車→聖米歇爾山,下午,抵達・停車場停車・接駁車進島・飯店Check-in,停車場→免費接駁車進島,⬜免費接駁車,飯店在山的對岸,
9/26 (六) 取車→聖米歇爾山,傍晚,山內觀光・穿梭朝聖者小巷,接駁車→步行入島,⬜免費,,
9/26 (六) 取車→聖米歇爾山,傍晚,普拉嬤嬤烘蛋 La Mère Poulard（外帶窗口省錢！）,步行,⬜外帶窗口約內用1/3價格,⭐外帶窗口只要內用價的1/3・強烈建議外帶！,
9/26 (六) 取車→聖米歇爾山,夜間,山腳欣賞點燈後修道院（宛如漂浮夜空的魔幻城堡）,步行至山腳,⬜免費,夜間點燈約日落後・9月底約20:00後,
9/26 (六) 取車→聖米歇爾山,潮汐資訊,滿潮 07:45 / 20:02（大潮係數 87/92）・乾潮 02:15 / 14:35,—,⬜資訊,注意漲退潮時間,
,,,,,,
9/27 (日) 聖米歇爾山全日（超大潮！）,9:00,⭐第一批進修道院 Abbaye du Mont-Saint-Michel（避開團客）,接駁車→步行入島,🔴需預約購票 abbaye-mont-saint-michel.fr,提早在官網購票並選第一批！感受潮汐孤島教堂的神聖,
9/27 (日) 聖米歇爾山全日（超大潮！）,上午,上山走城牆路線 Remparts（涼爽・視野開闊・避開主街人潮）,步行沿防衛城牆拾級而上,⬜免費,「下山走大街・上山走城牆」口訣,
9/27 (日) 聖米歇爾山全日（超大潮！）,下午,島嶼四周散步・觀察超大潮汐奇景,步行,⬜免費,⚠️切勿自行涉入沙灘泥濘！務必跟隨當地導遊,
9/27 (日) 聖米歇爾山全日（超大潮！）,傍晚,回飯店周邊放鬆・享受與世隔絕慢活,接駁車返對岸,⬜免費,,
9/27 (日) 聖米歇爾山全日（超大潮！）,潮汐資訊,⭐⭐超大潮！滿潮 08:20 / 20:37（超大潮係數 95/97！）・乾潮 02:56 / 15:14,—,⬜資訊,海水徹底淹沒橋樑！聖米歇爾山變身孤立海上仙山・景觀震撼無比！,
,,,,,,
9/28 (一) →翁夫勒,早上,退房・自駕出發→翁夫勒 Honfleur（印象派畫家的搖籃）,自駕約1.5-2小時,⬜免費,,
9/28 (一) →翁夫勒,中午,老港停車・蕎麥鹹薄餅午餐,步行老港,⬜免費,停車場在老港旁,
9/28 (一) →翁夫勒,下午,聖凱瑟琳教堂 Église Sainte-Catherine（全法最大全木造教堂）,步行2分鐘,⬜免費,抬頭看造船工匠打造的「翻轉船底」屋頂,
9/28 (一) →翁夫勒,下午,B&B Hotel Honfleur Check-in,步行或開車,⬜,,
9/28 (一) →翁夫勒,19:35後,老港魔幻夜景（昏黃燈火倒映水面）,步行至老港,⬜免費,⭐日落後最美・靜靜欣賞歐式老港風情,
9/28 (一) →翁夫勒,晚餐,巷弄小酒館・聖瓦斯特生蠔＋濃郁鮮奶油淡菜薯條,步行巷弄,⬜免費,諾曼第最正宗海鮮大餐！,
,,,,,,
9/29 (二) →象鼻海岸→盧昂,早上,退房・自駕出發,自駕,⬜免費,,
9/29 (二) →象鼻海岸→盧昂,途中,⭐諾曼第大橋 Pont de Normandie（斜張橋跨越塞納河出海口）,自駕（翁夫勒出發10分鐘即到橋頭）,⬜免費,全長856公尺・橋上視野壯麗,
9/29 (二) →象鼻海岸→盧昂,上午,象鼻海岸 Étretat・阿瓦爾懸崖三座巨型海蝕門 Falaise d'Aval,自駕約45-50分鐘後步行懸崖,⬜免費（戶外景點）,⚠️海崖風大・建議帶防風外套・禁止越過圍欄靠近崖邊,
9/29 (二) →象鼻海岸→盧昂,下午,自駕→盧昂 Rouen・飯店Check-in,自駕約1小時,⬜免費,盧昂是諾曼第歷史首府,
9/29 (二) →象鼻海岸→盧昂,傍晚,盧昂市區自由散步・晚餐,步行,⬜免費,,
,,,,,,
9/30 (三) 盧昂全日,上午,盧昂聖母大教堂 Cathédrale Notre-Dame de Rouen（莫內連畫30+幅）,步行市區,⬜免費（外觀）,莫內最執著的主題・不同光線下外觀千變萬化,
9/30 (三) 盧昂全日,中午,金色天橋大時鐘 Gros-Horloge（文藝復興時期鐘塔）,步行,€5門票（可選外觀免費）,需確認,
9/30 (三) 盧昂全日,下午,聖女貞德殉難地・聖女貞德教堂（現代解構風外觀）,步行,⬜免費,1431年殉難地・外觀設計前衛震撼,
