日期,時間,重點,行程交通,預約狀態,備註,
【雙重博物館】10/2–10/7,,,,,,
10/2 (五) 凡爾賽宮,早上,搭RER C線前往凡爾賽（輕鬆35-40分鐘）,RER C → Versailles Château-Rive Gauche站 → 步行10分鐘至宮殿,⬜Navigo週卡確認是否有效（Zone 4）,無則單程約€4.60,建議週二~日開館即到
10/2 (五) 凡爾賽宮,開館即衝,⭐「鏡廳衝刺法」：進門後忽略前面所有房間・直奔二樓最底部鏡廳！,步行入宮（個別購票€21）,🔴需預約 chateauversailles.fr,空無一人！陽光穿透357面鏡子+水晶吊燈・人生最美空景！⚠️遲到拒入場,
10/2 (五) 凡爾賽宮,上午,鏡廳 Galerie des Glaces・國王寢宮・王后套房,步行宮殿內,✅個別票€21含宮殿全區,拍完鏡廳後再回頭慢慢逛各廳室,
10/2 (五) 凡爾賽宮,中午,宮殿附近午餐（或自帶野餐至花園草坪）,步行,⬜,野餐更愜意,
10/2 (五) 凡爾賽宮,下午,皇家花園漫步・⭐強烈建議租電動高爾夫球車遊大運河,花園內步行或高爾夫車（約€35/1小時/台）,⬜花園平日免費（非噴泉日）,週末噴泉日€10,徒步花園非常累・強烈建議租高爾夫球車！
10/2 (五) 凡爾賽宮,傍晚,搭RER C返回巴黎,RER C → 巴黎,⬜Navigo或單程€4.60,,
10/2 (五) 凡爾賽宮,晚餐,巴黎市區晚餐,步行,⬜免費,,
,,,,,,
10/3 (六) 楓丹白露宮,早上,搭Transilien R線前往楓丹白露（40分鐘）,Paris Gare de Lyon → Fontainebleau-Avon站（40分）→ 公車Ligne 1至宮殿（5-10分）,⬜Navigo週卡可免費搭乘（Zone 5）,無則單程€8.70,記得搭公車Ligne 1從車站到宮門口！
10/3 (六) 楓丹白露宮,上午,楓丹白露宮參觀（歷任法國國王最愛行宮・拿破崙的小客廳）,步行宮殿內（個別購票€14）,個別購票€14,拿破崙在此簽署退位詔書・小客廳保存完整,
10/3 (六) 楓丹白露宮,中午,楓丹白露小鎮午餐（或前往巴比松小鎮）,步行小鎮或計程車（5分鐘）至Barbizon,⬜免費,,
10/3 (六) 楓丹白露宮,下午（可選）,⭐巴比松 Barbizon 小鎮（印象派畫家聚集地・米勒《拾穗》創作地）,步行或計程車約5分鐘,⬜免費,米勒・盧梭等大師的工作室仍在・淡季人少景美,
10/3 (六) 楓丹白露宮,傍晚,搭Transilien R返回巴黎,原路返回Gare de Lyon,⬜Navigo或單程€8.70,,
10/3 (六) 楓丹白露宮,晚餐,巴黎自由安排晚餐（或塞納河遊船晚餐）,市區步行,⬜免費,,
,,,,,,
10/4 (日) 巴黎自由行,早上,無壓力自由起床・市區咖啡館早餐,步行,⬜免費,,
10/4 (日) 巴黎自由行,上午,Marché d'Aligre 週末跳蚤市集（生鮮・古董・當地食材）,地鐵→Ledru-Rollin站步行,⬜免費,週日最熱鬧・建議10:00-12:00前去,
10/4 (日) 巴黎自由行,中午,午餐,步行,⬜免費,,
10/4 (日) 巴黎自由行,下午,超市伴手禮大採購（Monoprix・Picard冷凍食品・BHV）,步行或地鐵,⬜免費,鹽之花・調味茶・芥末醬・馬賽皂・護手霜,
10/4 (日) 巴黎自由行,傍晚,自由漫步（蒙馬特・塞納河・瑪黑區）,步行,⬜免費,,
10/4 (日) 巴黎自由行,晚餐,自由安排晚餐,步行,⬜免費,Picard 可買外帶加熱海鮮飯（5.4€省荷包版晚餐）,
,,,,,,
10/5 (一) 整理回程,早上,確認行李重量（每人23kg）・清點退稅單據,飯店,⬜免費,⚠️退稅單不能遺失！每筆消費需有購買憑證,
10/5 (一) 整理回程,上午,最後藥妝採購（Citypharma 最平價）・紀念品確認,步行或地鐵,⬜免費,,
10/5 (一) 整理回程,中午,⭐最後的法國午餐・好好道別,精選餐廳,⬜免費,,
10/5 (一) 整理回程,下午,完成打包・確認PABLO退稅機操作流程,飯店,⬜免費,整理各退稅單・準備好護照&未開封商品,
10/5 (一) 整理回程,晚餐,巴黎最後晚餐（告別法國！）,精選餐廳,⬜免費,盡情享用！,
,,,,,,
10/6 (二) 返台,06:30-07:00,⭐出發前往戴高樂機場（提前4小時！）,計程車（建議）或RER B線→CDG,⬜免費,航班11:20・建議07:00抵達機場,
10/6 (二) 返台,07:00-08:30,PABLO退稅機掃碼（所有退稅單）,機場步行,⬜免費,🔴退稅流程順序：①先找PABLO機掃條碼 ②綠燈→投退稅信箱 ③紅燈→找海關人工蓋章 ④蓋章後再去托運行李！,
10/6 (二) 返台,08:30-09:30,辦理行李托運・通關安檢,機場步行,⬜免費,⚠️退稅辦完再托運行李！順序絕對不能錯！,
10/6 (二) 返台,09:30-11:20,候機・免稅店最後採購,機場步行,⬜免費,,
10/6 (二) 返台,11:20,✈ 起飛！法國再見！,飛機,⬜,期待下次！,
10/7 (三) 返抵桃園,6:40,⭐平安抵達桃園國際機場！,機場,⬜,帶著滿滿的法國回憶・感謝美好的22天旅程！,
